repo_id,app,full_name,description,owner_id,default_branch,language,created_at,updated_at,pushed_at,size,stargazers,subscribers,is_fork,forks_count,open_issues,watchers,has_downloads,has_issues,has_pages,has_wiki,has_projects,git_url,clone_url,last_commit_sha,last_commit_date,last_commit_massage,last_commit_author,tests_count,has_junit,is_maven,classification
6296790,spring-boot,spring-projects/spring-boot,Spring Boot,317776,master,Java,2012-10-19T15:02:57Z,2020-12-01T00:22:41Z,2020-11-30T20:29:36Z,128338,51980,3476,False,32121,513,51980,True,True,True,True,True,git://github.com/spring-projects/spring-boot.git,https://github.com/spring-projects/spring-boot.git,bd7e89be1afb1f684317a9976663eb58e47b782d,2020-11-30T16:18:35Z,Start building against Spring Framework 5.3.2 snapshots  See gh-24278,Stephane Nicoll,92,True,True,2.0
4710920,dubbo,apache/dubbo,Apache Dubbo is a high-performance; java based; open source RPC framework.,47359,master,Java,2012-06-19T07:56:02Z,2020-11-30T03:54:41Z,2020-11-30T03:25:40Z,30338,34129,3270,False,22586,874,34129,True,True,False,True,True,git://github.com/apache/dubbo.git,https://github.com/apache/dubbo.git,3fc2d100bb2081c3da1996508e1f1200cea21d2f,2020-11-16T11:09:28Z,enable Github Action for Unit test (#6726),GitHub,531,True,True,1.359733153707618
7508411,RxJava,ReactiveX/RxJava,RxJava – Reactive Extensions for the JVM – a library for composing asynchronous and event-based programs using observable sequences for the Java VM.,6407041,3.x,Java,2013-01-08T20:11:48Z,2020-12-01T01:46:23Z,2020-11-30T19:38:17Z,118455,43811,2333,False,7293,13,43811,True,True,True,True,True,git://github.com/ReactiveX/RxJava.git,https://github.com/ReactiveX/RxJava.git,bfd242da5de53bd16f8c7d52c83e0968010bba2c,2020-11-30T19:21:14Z,3.x: Remove unnecessary cancel/dispose calls from terminating using (#7121),GitHub,895,True,False,1.069891127095064
5152285,okhttp,square/okhttp,Square’s meticulous HTTP client for the JVM; Android; and GraalVM.,82592,master,Java,2012-07-23T13:42:55Z,2020-11-30T15:51:58Z,2020-11-29T15:07:21Z,38856,38795,1679,False,8324,87,38795,True,True,True,False,False,git://github.com/square/okhttp.git,https://github.com/square/okhttp.git,858939f025068c6d3581338317bba03e63ebd909,2020-11-29T15:07:20Z,DOH non experimental (#6452),GitHub,82,True,False,1.0054898555420233
892275,retrofit,square/retrofit,A type-safe HTTP client for Android and the JVM,82592,master,Java,2010-09-06T21:39:43Z,2020-11-27T23:54:40Z,2020-11-22T17:56:31Z,5503,37003,1621,False,6730,130,37003,True,True,True,True,False,git://github.com/square/retrofit.git,https://github.com/square/retrofit.git,7128bf34c649daca5977b1fbf93f0278fab4267c,2020-11-02T15:53:22Z,Merge pull request #3489 from kozaxinan/master  Update website Proguard rule section to be same as Readme,GitHub,100,True,False,0.9213902015295927
1064563,netty,netty/netty,Netty project - an event-driven asynchronous network application framework,473791,4.1,Java,2010-11-09T09:22:21Z,2020-11-28T03:19:49Z,2020-11-27T16:50:56Z,66626,25346,1854,False,12248,465,25346,True,True,False,True,True,git://github.com/netty/netty.git,https://github.com/netty/netty.git,567b46fa0182e5b613ae1c975972a3cfa35c06a4,2020-11-26T14:34:56Z,Don't use the cname cache when using DnsRecordResolveContext (#10808)  Motivation:    The DnsNameResolver internally follows CNAME indirects for all records types; and supports caching for CNAME resolution and A* records. For DNS record types that are not cached (e.g. SRV records) the caching of CNAME records may result in failures at incorrect times. For example if a CNAME record has a larger TTL than the entries it resolves this may result in failures which don't occur if the CNAME cache is disabled.    Modifications:    - Don't cache CNAME and also dont use the cache for CNAME when using DnsRecordResolveContext  - Add unit test    Result:    More correct resolving and also not possible to have failures due CNAME still be in the cache while the queried record experied,GitHub,699,True,True,0.8689187979192616
2562751,zxing,zxing/zxing,ZXing ( 'Zebra Crossing ') barcode scanning library for Java; Android,1122572,master,Java,2011-10-12T14:07:27Z,2020-11-29T03:16:05Z,2020-11-19T12:48:46Z,240451,26657,1710,False,8843,8,26657,True,True,True,True,False,git://github.com/zxing/zxing.git,https://github.com/zxing/zxing.git,820d0910734a3fd36e2f93c5d0915f5dfa807213,2020-11-19T12:48:45Z,Update strings.xml (#1336)  Better German,GitHub,15,True,True,0.7881346198404099
2700159,druid,alibaba/druid,阿里巴巴计算平台事业部出品，为监控而生的数据库连接池,1961952,master,Java,2011-11-03T05:12:51Z,2020-11-29T04:17:49Z,2020-11-26T10:01:24Z,62872,22743,1823,False,7476,1879,22743,True,True,False,True,True,git://github.com/alibaba/druid.git,https://github.com/alibaba/druid.git,1fa599c340e0ee3675904c1dd9ae14552c869b46,2020-11-26T10:01:15Z,improved oracle ddl support,高铁,815,True,True,0.6702786000161782
8575137,butterknife,JakeWharton/butterknife,Bind Android views and callbacks to fields and methods.,66577,master,Java,2013-03-05T08:18:59Z,2020-12-01T18:11:51Z,2020-09-04T02:00:13Z,3909,25524,1090,False,4749,113,25524,True,True,True,False,False,git://github.com/JakeWharton/butterknife.git,https://github.com/JakeWharton/butterknife.git,fcdebedf3276096db2f51bf6372b849b5a9c75ed,2020-09-04T02:00:12Z,Merge pull request #1628 from ZacSweers/patch-1  Fix changelog typo,GitHub,73,True,False,0.6388822162312645
2700474,fastjson,alibaba/fastjson,A fast JSON parser/generator for Java.,1961952,master,Java,2011-11-03T06:58:52Z,2020-11-29T02:10:49Z,2020-11-22T12:35:46Z,14866,22699,1384,False,6059,1507,22699,True,True,False,True,True,git://github.com/alibaba/fastjson.git,https://github.com/alibaba/fastjson.git,a7f1f5c4ac52503cc95bf1d27498098b3093a0df,2020-11-21T06:03:37Z,improved compatible; fix #3544,高铁,738,True,True,0.6253176783358337
2211243,kafka,apache/kafka,Mirror of Apache Kafka,47359,trunk,Java,2011-08-15T18:06:16Z,2020-11-28T19:25:17Z,2020-11-29T01:29:05Z,109507,17410,1071,False,9303,773,17410,True,False,False,False,True,git://github.com/apache/kafka.git,https://github.com/apache/kafka.git,9412fc11516dd8218645c6f8c6a86bee5b36db8d,2020-11-28T05:06:48Z,MINOR: Update vagrant/tests readme (#9650)  Reviewers: Chia-Ping Tsai <chia7712@gmail.com>,GitHub,819,True,True,0.6245601247658206
